id,name,industry,sector,subsector,revenue,revenue_numeric,employees,headquarters,country,region,founded,ceo,website,description,products,services,market_cap,stock_exchange,ticker,subsidiaries,locations,certifications,sustainability_score,innovation_index,digital_maturity,source,scraped_date
north_america_010,Sustainable Solutions,Oil & Gas,Energy,Upstream Operations,$59.2B,59.21414211296684,72116,"Vancouver, Canada",Canada,North America,1893,Linda Miller,www.sustainablesolutions.com,"Sustainable Solutions specializes in upstream operations and related technologies, delivering cutting-edge solutions to industrial customers globally.",Pipeline Systems; Natural Gas; Refined Products,Drilling Services; Refining Services,$99.9B,TSX,SUSO,Sustainable Solutions; Sustainable International; Sustainable Solutions; Sustainable Services,"Ottawa, Canada; Belgium, Belgium; Sharjah, UAE; Nigeria, Nigeria; Ecuador, Ecuador; Oslo, Norway; Peru, Peru; Marseille, France; Basel, Switzerland; Qatar, Qatar; Shenzhen, China; Colombia, Colombia; Austria, Austria; Stockholm, Sweden; Mexico City, Mexico",ISO 45001:2018; ISO 29001; ATEX Certified,0.5651006147277768,0.5036354586640523,0.4281226440835473,Industrial Company Database,2025-09-13T22:22:28.579345
north_america_011,Design Engineering,Construction,Infrastructure,Industrial Construction,$17.2B,17.249439735085552,65980,"Detroit, United States",United States,North America,1932,William Wilson,www.designengineering.com,"As a major player in the construction sector, Design Engineering focuses on industrial construction with a commitment to innovation and sustainability.",Project Management Tools; Safety Systems; Building Materials; Construction Equipment,Consulting; Engineering Services,$33.4B,NYSE/NASDAQ,DEEN,Design International; Design Asia,"Detroit, United States; Malaysia, Malaysia; Brasília, Brazil; Austria, Austria; Mendoza, Argentina; Morocco, Morocco; Poland, Poland; Stockholm, Sweden; Dubai, UAE; Turkey, Turkey; Philippines, Philippines; Taipei, Taiwan; Qatar, Qatar; Incheon, South Korea; Belgium, Belgium; Kolkata, India; Montreal, Canada; Shenzhen, China; Chile, Chile; Nigeria, Nigeria; Stavanger, Norway",Safety Certified; Building Code Compliance; LEED Certified,0.10480784930985779,0.9547747145925494,0.48833051632502456,Industrial Company Database,2025-09-13T22:22:28.579417
north_america_012,Precision Industries Corp.,Textiles,Manufacturing,Home Textiles,$7.1B,7.067517082356888,19720,"San Jose, United States",United States,North America,1908,Jennifer Brown,www.precisionindustriescorp.com,"Precision Industries Corp. operates as a diversified textiles company, with core expertise in home textiles and a strong global presence.",Industrial Equipment; Components; Systems,Professional Services; Technical Support; Consulting; Training,$27.3B,NYSE/NASDAQ,PRIN,Precision Solutions; Precision Americas,"San Diego, United States; Xi'an, China; Tijuana, Mexico; Cape Town, South Africa; Poland, Poland; Essen, Germany; Rotterdam, Netherlands; Singapore, Singapore; Indonesia, Indonesia; Qatar, Qatar; Thailand, Thailand; Chile, Chile",ISO 14001:2015; ISO 45001:2018; ISO 9001:2015,0.39632801776967297,0.5521836009180554,0.8298319296554624,Industrial Company Database,2025-09-13T22:22:28.579466
north_america_013,Beta AI Corp.,Hardware,Technology,Server Systems,$0.6B,0.602831386197908,1301,"New York, United States",United States,North America,1958,Robert Johnson,www.betaaicorp.com,"Beta AI Corp. is a leading global provider of server systems solutions, serving customers across multiple industries with innovative products and services.",Components; Systems; Industrial Equipment,Technical Support; Professional Services,$1.4B,NYSE/NASDAQ,BEAC,Beta Services; Beta Technologies; Beta Americas; Beta Solutions,"Phoenix, United States; Aarhus, Denmark; Thailand, Thailand; Hyderabad, India; Vietnam, Vietnam",ISO 45001:2018; ISO 14001:2015; ISO 9001:2015,0.8839642019896261,0.5082119295084367,0.3078551952876491,Industrial Company Database,2025-09-13T22:22:28.579509
north_america_014,Global Solutions,Construction,Infrastructure,Infrastructure Projects,$5.5B,5.510052186745778,17420,"Montreal, Canada",Canada,North America,1915,Michael Davis,www.globalsolutions.com,"As a major player in the construction sector, Global Solutions focuses on infrastructure projects with a commitment to innovation and sustainability.",Prefab Structures; Project Management Tools; Construction Equipment; Safety Systems,Construction Services; Project Management,$11.3B,TSX,GLSO,Global Europe; Global Asia; Global Services,"Edmonton, Canada; Copenhagen, Denmark",Building Code Compliance; OSHA Certified; ISO 14001:2015; ISO 9001:2015; ISO 45001:2018,0.722706344056832,0.6867332128722745,0.762003776918893,Industrial Company Database,2025-09-13T22:22:28.579537
north_america_015,American Projects LLC,Telecommunications,Infrastructure,Fiber Optics,$71.4B,71.40955443790025,247321,"Phoenix, United States",United States,North America,1902,William Wilson,www.americanprojectsllc.com,"Founded as a pioneer in telecommunications, American Projects LLC has evolved into a comprehensive fiber optics company with operations worldwide.",Industrial Equipment; Components; Systems,Technical Support; Consulting,$109.1B,NYSE/NASDAQ,AMPR,American Solutions,"New York, United States; Colombia, Colombia; Egypt, Egypt; Shanghai, China; Thailand, Thailand; Zaragoza, Spain; Stockholm, Sweden; Taipei, Taiwan; Ecuador, Ecuador; Jeddah, Saudi Arabia; Israel, Israel; Venezuela, Venezuela; Toulouse, France; Oslo, Norway; Bern, Switzerland; Pretoria, South Africa; Poland, Poland; Turkey, Turkey; Fortaleza, Brazil; Odense, Denmark; Austria, Austria",ISO 9001:2015; ISO 45001:2018; ISO 14001:2015,0.34791837128304026,0.5917104377707468,0.8798793207396751,Industrial Company Database,2025-09-13T22:22:28.579599
north_america_016,Aerospace & Defense Corp,Aerospace & Defense,Manufacturing,Military Aircraft,$64.7B,64.66603577558737,145125,"Puebla, Mexico",Mexico,North America,1954,Robert Johnson,www.aerospace&defensecorp.com,"Aerospace & Defense Corp is a leading global provider of military aircraft solutions, serving customers across multiple industries with innovative products and services.",Radar Systems; Satellites; Avionics Systems; Aircraft; Navigation Equipment; Defense Systems,Training Programs; Technical Support,$187.9B,BMV,AE&D,Aerospace Solutions; Aerospace Services; Aerospace Americas; Aerospace Europe,"Tijuana, Mexico; Belgium, Belgium; Cape Town, South Africa; Paris, France; Poland, Poland; Shanghai, China; Bologna, Italy; Nigeria, Nigeria; Vietnam, Vietnam; Colombia, Colombia",NADCAP; DO-178C; ISO 14001:2015; AS9100D; EASA Approval; ISO 45001:2018; ISO 9001:2015,0.312901546582863,0.6529038086917366,0.7712753590497909,Industrial Company Database,2025-09-13T22:22:28.579644
north_america_017,Global Power Corp.,Utilities,Energy,Natural Gas Distribution,$7.8B,7.814040014807938,14420,"Montreal, Canada",Canada,North America,1900,James Smith,www.globalpowercorp.com,"Founded as a pioneer in utilities, Global Power Corp. has evolved into a comprehensive natural gas distribution company with operations worldwide.",Components; Systems; Industrial Equipment,Technical Support; Professional Services; Training; Consulting,$28.1B,TSX,GLPO,Global Europe; Global Services,"Ottawa, Canada; Turin, Italy; Turkey, Turkey; Stockholm, Sweden; Chengdu, China; Ecuador, Ecuador; Egypt, Egypt; Nagoya, Japan; Peru, Peru; Chennai, India; Malaysia, Malaysia; Austria, Austria; Morocco, Morocco",ISO 45001:2018; ISO 14001:2015; ISO 9001:2015,0.5649046075440859,0.3877307355180767,0.6841960608544689,Industrial Company Database,2025-09-13T22:22:28.579693
north_america_018,Delta Technologies,Hardware,Technology,Computer Hardware,$0.8B,0.8368595809425893,2859,"Toronto, Canada",Canada,North America,1893,Michael Davis,www.deltatechnologies.com,"As a major player in the hardware sector, Delta Technologies focuses on computer hardware with a commitment to innovation and sustainability.",Systems; Industrial Equipment; Components,Professional Services; Consulting; Technical Support,$2.2B,TSX,DETE,Delta International; Delta International; Delta Services,"Edmonton, Canada; Indonesia, Indonesia; Seville, Spain; Colombia, Colombia; Belgium, Belgium; Peru, Peru; Chile, Chile",ISO 9001:2015; ISO 14001:2015; ISO 45001:2018,0.3445903833112571,0.4016255289567352,0.5490079984063961,Industrial Company Database,2025-09-13T22:22:28.579730
north_america_019,IoT Solutions,IoT,Technology,Industrial IoT,$0.9B,0.9217260596138135,2130,"Edmonton, Canada",Canada,North America,1978,James Smith,www.iotsolutions.com,"IoT Solutions is a leading global provider of industrial iot solutions, serving customers across multiple industries with innovative products and services.",Systems; Components; Industrial Equipment,Professional Services; Training; Consulting; Technical Support,$1.7B,TSX,ISO,,"Montreal, Canada; Belgium, Belgium; Perth, Australia; Córdoba, Argentina; Taipei, Taiwan",ISO 9001:2015; ISO 14001:2015; ISO 45001:2018,0.7025732101515378,0.2774948592222749,0.7639013516698361,Industrial Company Database,2025-09-13T22:22:28.579763
north_america_020,Modern Solutions,Plastics,Manufacturing,Polymer Production,$0.5B,0.4543320600597105,1496,"Puebla, Mexico",Mexico,North America,1961,Elizabeth Moore,www.modernsolutions.com,"As a major player in the plastics sector, Modern Solutions focuses on polymer production with a commitment to innovation and sustainability.",Industrial Equipment; Components; Systems,Training; Professional Services; Consulting; Technical Support,$1.8B,BMV,MOSO,,"Guadalajara, Mexico; Sydney, Australia; Thailand, Thailand; Egypt, Egypt; Israel, Israel",ISO 45001:2018; ISO 9001:2015; ISO 14001:2015,0.6070456668313415,0.6937411958660479,0.8374269026099015,Industrial Company Database,2025-09-13T22:22:28.579794
north_america_021,Tech Semiconductors AI,Semiconductors,Technology,Electronic Components,$0.7B,0.7007773694107853,734,"Los Angeles, United States",United States,North America,1896,Linda Miller,www.techsemiconductorsai.com,"As a major player in the semiconductors sector, Tech Semiconductors AI focuses on electronic components with a commitment to innovation and sustainability.",Memory Chips; Sensors; Power Semiconductors; Microprocessors,Testing Services; Technical Support; R&D Services,$1.1B,NYSE/NASDAQ,TESE,Tech Americas; Tech Europe; Tech Europe; Tech Asia,"Chicago, United States; Singapore, Singapore; Chennai, India",IPC-A-610; ISO 45001:2018; JEDEC Standards; SEMI Standards; ISO 9001:2015; ISO 14001:2015,0.4004952762974475,0.8923527031783702,0.8423425924283348,Industrial Company Database,2025-09-13T22:22:28.579825
north_america_022,Global Systems,Robotics,Technology,Automation Systems,$8.0B,7.997413485099501,25691,"Puebla, Mexico",Mexico,North America,1890,Jennifer Brown,www.globalsystems.com,"Founded as a pioneer in robotics, Global Systems has evolved into a comprehensive automation systems company with operations worldwide.",Safety Systems; Robot Controllers; Automation Systems; Vision Systems,Training Programs; Consulting; Maintenance Support; Programming Services,$13.1B,BMV,GLSY,Global Europe; Global Americas; Global Asia; Global International,"Puebla, Mexico; Israel, Israel; Colombia, Colombia; Thailand, Thailand; Brasília, Brazil; Vietnam, Vietnam; Venezuela, Venezuela; Florence, Italy; Qatar, Qatar; Pretoria, South Africa; Peru, Peru; Nigeria, Nigeria; Turkey, Turkey",CE Marking; ISO 10218; UL 2089,0.27292877775733726,0.9272008552619413,0.6710499815412827,Industrial Company Database,2025-09-13T22:22:28.579874
north_america_023,Gamma Labs,Semiconductors,Technology,Memory Devices,$51.1B,51.07627296034437,57080,"Calgary, Canada",Canada,North America,2016,Patricia Williams,www.gammalabs.com,"Gamma Labs is a leading global provider of memory devices solutions, serving customers across multiple industries with innovative products and services.",Memory Chips; Power Semiconductors; Microprocessors; Sensors; Analog Chips,Testing Services; R&D Services; Custom Manufacturing; Technical Support,$176.7B,TSX,GALA,Gamma Americas; Gamma Technologies,"Ottawa, Canada; Seattle, United States; Peru, Peru; Rotterdam, Netherlands; Puebla, Mexico; Geneva, Switzerland; Qatar, Qatar; Kaohsiung, Taiwan; Belgium, Belgium; Nigeria, Nigeria; Turin, Italy; Chile, Chile; Shanghai, China; Bristol, United Kingdom; Indonesia, Indonesia; Philippines, Philippines; Gothenburg, Sweden",RBA Validated; IPC-A-610; SEMI Standards,0.3881304124102576,0.43775141008184015,0.8347542876850922,Industrial Company Database,2025-09-13T22:22:28.579928
north_america_024,Infrastructure Construction Corp.,Transportation,Infrastructure,Aviation Infrastructure,$1.1B,1.1230452861039721,3127,"Ottawa, Canada",Canada,North America,1957,Michael Davis,www.infrastructureconstructioncorp.com,"Founded as a pioneer in transportation, Infrastructure Construction Corp. has evolved into a comprehensive aviation infrastructure company with operations worldwide.",Components; Industrial Equipment; Systems,Technical Support; Training; Professional Services,$2.2B,TSX,INCO,Infrastructure Europe; Infrastructure Asia; Infrastructure Technologies,"Edmonton, Canada; Colombia, Colombia",ISO 9001:2015; ISO 14001:2015; ISO 45001:2018,0.7725944858309979,0.6195707952872175,0.7806468664551786,Industrial Company Database,2025-09-13T22:22:28.579957
north_america_025,Construction Development,Construction,Infrastructure,Infrastructure Projects,$51.8B,51.79358027056264,195518,"Phoenix, United States",United States,North America,2019,Jennifer Brown,www.constructiondevelopment.com,"Construction Development specializes in infrastructure projects and related technologies, delivering cutting-edge solutions to industrial customers globally.",Building Materials; Prefab Structures; Project Management Tools,Construction Services; Maintenance,$103.0B,NYSE/NASDAQ,CODE,Construction Solutions; Construction Americas; Construction Solutions,"Dallas, United States; Seoul, South Korea; Israel, Israel; Kobe, Japan; Taipei, Taiwan; Johannesburg, South Africa; Nigeria, Nigeria; Austria, Austria; Marseille, France; Poland, Poland",Building Code Compliance; ISO 9001:2015; ISO 14001:2015,0.6941382002696084,0.9038994908645499,0.4539341308876784,Industrial Company Database,2025-09-13T22:22:28.580000
north_america_026,Digital Software Innovations,Software,Technology,Industrial Software,$3.1B,3.081758213228288,7407,"Monterrey, Mexico",Mexico,North America,1906,Linda Miller,www.digitalsoftwareinnovations.com,"Digital Software Innovations is a leading global provider of industrial software solutions, serving customers across multiple industries with innovative products and services.",Manufacturing Execution Systems; Industrial IoT Platforms; ERP Solutions,Training Programs; Consulting Services,$7.4B,BMV,DISO,Digital Americas; Digital Asia; Digital Technologies; Digital Services; Digital Americas,"Mexico City, Mexico; Colombia, Colombia; Sharjah, UAE; Marseille, France; Hyderabad, India; Tianjin, China",ISO 45001:2018; SOC 2 Compliant; ISO 9001:2015; ISO/IEC 27001; GDPR Compliant; CMMI Level 5; ISO 14001:2015,0.20231957502939862,0.6313328390760711,0.7509338124835612,Industrial Company Database,2025-09-13T22:22:28.580036
north_america_027,Logistics Solutions,Logistics,Infrastructure,Warehousing,$19.6B,19.633744778547943,45090,"Edmonton, Canada",Canada,North America,1894,William Wilson,www.logisticssolutions.com,"Logistics Solutions specializes in warehousing and related technologies, delivering cutting-edge solutions to industrial customers globally.",Industrial Equipment; Components; Systems,Consulting; Technical Support; Professional Services; Training,$39.8B,TSX,LOSO,Logistics Asia,"Montreal, Canada; Yokohama, Japan; Zurich, Switzerland; Belgium, Belgium; Egypt, Egypt; Turkey, Turkey; Thailand, Thailand; Sharjah, UAE; Durban, South Africa; Qatar, Qatar; Ecuador, Ecuador; Malaysia, Malaysia; Munich, Germany",ISO 45001:2018; ISO 9001:2015; ISO 14001:2015,0.15636570177129586,0.7595409408914437,0.54941154105176,Industrial Company Database,2025-09-13T22:22:28.580083
north_america_028,Global Systems,Mining,Energy,Coal Mining,$1.8B,1.7516004969954095,2354,"Toronto, Canada",Canada,North America,1906,Elizabeth Moore,www.globalsystems.com,"Global Systems is a leading global provider of coal mining solutions, serving customers across multiple industries with innovative products and services.",Industrial Equipment; Components; Systems,Professional Services; Technical Support,$5.2B,TSX,GLSY,Global Americas; Global Americas; Global Europe,"Toronto, Canada; Durban, South Africa; Turkey, Turkey; Hamburg, Germany; Nigeria, Nigeria; Venezuela, Venezuela; Busan, South Korea",ISO 14001:2015; ISO 9001:2015; ISO 45001:2018,0.19140449746538493,0.5173289787570036,0.4777275013240967,Industrial Company Database,2025-09-13T22:22:28.580119
north_america_029,Digital Hardware AI Inc.,Hardware,Technology,Industrial Computers,$65.5B,65.4692950188172,133686,"San Diego, United States",United States,North America,1996,William Wilson,www.digitalhardwareaiinc.com,"Digital Hardware AI Inc. operates as a diversified hardware company, with core expertise in industrial computers and a strong global presence.",Industrial Equipment; Systems; Components,Technical Support; Training,$230.9B,NYSE/NASDAQ,DIHA,Digital Europe,"New York, United States; Madrid, Spain; Toulouse, France; Tainan, Taiwan; Tijuana, Mexico; Sharjah, UAE; Colombia, Colombia; Qatar, Qatar; Kobe, Japan; Rotterdam, Netherlands; Vietnam, Vietnam; Odense, Denmark; Kolkata, India; Calgary, Canada; Chile, Chile; Egypt, Egypt; Bergen, Norway; Austria, Austria; Philippines, Philippines; Nigeria, Nigeria; Venezuela, Venezuela; Jeddah, Saudi Arabia; Belgium, Belgium; Indonesia, Indonesia",ISO 9001:2015; ISO 45001:2018; ISO 14001:2015,0.3693194463034375,0.5348691201712719,0.8721153675771032,Industrial Company Database,2025-09-13T22:22:28.580190
north_america_030,Global Systems,Pharmaceuticals,Manufacturing,Biotechnology,$3.2B,3.1693817382423832,4564,"Mexico City, Mexico",Mexico,North America,1981,Robert Johnson,www.globalsystems.com,"As a major player in the pharmaceuticals sector, Global Systems focuses on biotechnology with a commitment to innovation and sustainability.",Generic Drugs; Diagnostic Equipment; Medical Devices; Vaccines; Prescription Drugs,Distribution; Clinical Services; Manufacturing Services,$5.6B,BMV,GLSY,Global Europe; Global International; Global Europe,"Tijuana, Mexico; Venezuela, Venezuela",ISO 14001:2015; GMP Certified; ISO 9001:2015; FDA Approved; EMA Certified; WHO Prequalified,0.5507945505439676,0.6947269431099979,0.6306671314029029,Industrial Company Database,2025-09-13T22:22:28.580230
north_america_031,Alpha Industries,Electronics,Manufacturing,Consumer Electronics,$12.5B,12.518251827289168,22666,"Phoenix, United States",United States,North America,1940,Robert Johnson,www.alphaindustries.com,"Alpha Industries operates as a diversified electronics company, with core expertise in consumer electronics and a strong global presence.",Sensors; Circuit Boards; Industrial Electronics,Installation Services; Technical Support; Training Programs; Custom Design; Repair Services,$42.5B,NYSE/NASDAQ,ALIN,Alpha Solutions; Alpha Technologies; Alpha Technologies; Alpha Americas,"Chicago, United States; Thailand, Thailand; Singapore, Singapore; Marseille, France; Malaysia, Malaysia; Edinburgh, United Kingdom; Venezuela, Venezuela; Philippines, Philippines; Peru, Peru; Fukuoka, Japan; Beijing, China; Kaohsiung, Taiwan; Chile, Chile; Belgium, Belgium; Vietnam, Vietnam",CE Marking; IPC Standards; RoHS Compliant; ISO 45001:2018; FCC Approved; UL Listed; ISO 14001:2015,0.3813358869885578,0.21349409202033276,0.684339039103222,Industrial Company Database,2025-09-13T22:22:28.580287
north_america_032,Project Engineering Corp.,Real Estate,Infrastructure,Industrial Real Estate,$60.2B,60.210413862471206,181925,"Montreal, Canada",Canada,North America,1908,Patricia Williams,www.projectengineeringcorp.com,"As a major player in the real estate sector, Project Engineering Corp. focuses on industrial real estate with a commitment to innovation and sustainability.",Systems; Industrial Equipment; Components,Training; Consulting,$216.9B,TSX,PREN,Project Technologies,"Calgary, Canada; Geneva, Switzerland; Philippines, Philippines; Bologna, Italy; Rotterdam, Netherlands; Hamburg, Germany; Gothenburg, Sweden; Israel, Israel; Belgium, Belgium; San Diego, United States; Shenzhen, China",ISO 9001:2015; ISO 14001:2015; ISO 45001:2018,0.864634475165597,0.7138468112174661,0.49853698654364736,Industrial Company Database,2025-09-13T22:22:28.580336
north_america_033,Power Power,Oil & Gas,Energy,Refining,$0.8B,0.8121439558646619,1132,"Tijuana, Mexico",Mexico,North America,1995,William Wilson,www.powerpower.com,"Power Power specializes in refining and related technologies, delivering cutting-edge solutions to industrial customers globally.",Refined Products; Petrochemicals; Pipeline Systems,Exploration Services; Technical Consulting; Drilling Services; Transportation; Refining Services,$2.6B,BMV,POPO,Power International; Power Services; Power Services,"Guadalajara, Mexico; Poland, Poland; Barcelona, Spain",ISO 29001; ISO 9001:2015; NORSOK Standards,0.6120730152263412,0.3281283039930443,0.30664106030762334,Industrial Company Database,2025-09-13T22:22:28.580365
north_america_034,Semiconductors Digital,Semiconductors,Technology,Semiconductor Equipment,$12.8B,12.756014912867363,19185,"Tijuana, Mexico",Mexico,North America,2006,Linda Miller,www.semiconductorsdigital.com,"As a major player in the semiconductors sector, Semiconductors Digital focuses on semiconductor equipment with a commitment to innovation and sustainability.",Memory Chips; Power Semiconductors; Analog Chips; Sensors; Microprocessors,Technical Support; Custom Manufacturing; Design Services; Testing Services; R&D Services,$35.9B,BMV,SEDI,Semiconductors Technologies; Semiconductors Europe; Semiconductors Solutions,"Guadalajara, Mexico; Rio de Janeiro, Brazil; Taichung, Taiwan; Tianjin, China; Peru, Peru; Cape Town, South Africa; Vietnam, Vietnam; Colombia, Colombia; Singapore, Singapore; Chile, Chile; Morocco, Morocco; Bologna, Italy; Sharjah, UAE",RBA Validated; ISO 45001:2018; ISO 14001:2015; ISO 9001:2015; SEMI Standards,0.5713662802311336,0.8209980759269557,0.7280968066721305,Industrial Company Database,2025-09-13T22:22:28.580413
